         sampletype     expr
sample1     control        0
sample2     control        0
sample3     control        0
sample4     control        0
sample5     control        0
sample6     control        0
sample7     control        0
sample8     control        0
sample9     control        0
sample10    ex             1
sample11    ex             1
sample12    ex             1
sample13    ex             1
sample14    ex             1
sample15    ex             1
sample16    ex             1
sample17    ex             1
sample18    ex             1
